,Year,Primary Enrollment,GDP
0,2000,284203750000.0,115.694129943848
1,2001,268696750000.0,116.25016784668
2,2002,97724004251.8602,116.798431396484
3,2003,127586973492.177,114.494667053223
4,2004,164657930452.787,115.806053161621
5,2005,198737095012.282,115.29914855957
6,2006,232557260817.308,117.203300476074
7,2007,287530508430.568,118.051109313965
8,2008,361558037110.419,118.593460083008
9,2009,332976484577.619,117.905982971191
10,2010,423627422092.49,116.975761413574
11,2011,530163281574.658,115.614730834961
12,2012,545982375701.128,114.227172851563
13,2013,552025140252.246,112.011947631836
14,2014,526319673731.638,111.459671020508
15,2015,594749285413.212,111.303413391113
16,2016,557531376217.967,110.739181518555
17,2017,643628665302.155,109.74146270752
18,2018,524819742918.669,109.659172058105
19,2019,452818426182.658,109.516296386719
20,2020,389591035520.675,
21,2021,491492700657.012,
